Group,LSTM,conv,augmented,frame,accuracy
0,0,4,1,3,0.9566666483879088
0,1,5,0,3,0.9555555582046508
1,0,1,1,3,0.9544444680213928
0,1,4,0,3,0.953333318
1,1,3,1,3,0.953333318
0,0,6,1,3,0.952222228
0,1,2,0,3,0.952222228
0,1,6,1,3,0.952222228
1,0,1,1,5,0.952115834
0,1,1,1,5,0.9510022401809692
0,1,3,0,5,0.9510022401809692
0,1,4,0,5,0.9510022401809692
1,1,1,0,5,0.9510022401809692
0,1,1,0,3,0.949999988
1,0,1,0,3,0.949999988
1,0,5,1,3,0.949999988
0,0,5,1,3,0.949999988
0,0,6,1,5,0.9498886466026306
0,0,4,0,5,0.9498886466026306
1,1,1,0,3,0.948888898
0,1,1,0,5,0.948775053
0,1,4,1,5,0.948775053
1,1,2,0,5,0.948775053
0,0,1,0,5,0.948775053
1,0,2,0,3,0.9477777481079102
1,0,4,1,3,0.9477777481079102
1,1,2,1,3,0.9477777481079102
0,0,2,1,3,0.9477777481079102
0,0,4,0,3,0.9477777481079102
0,0,5,0,3,0.9477777481079102
0,1,5,1,5,0.9476614594459534
1,1,1,1,5,0.9476614594459534
1,1,4,1,5,0.9476614594459534
0,0,5,1,5,0.9476614594459534
0,0,2,1,7,0.9475446343421936
1,1,5,1,3,0.946666658
0,0,1,0,3,0.946666658
0,1,3,1,5,0.9465478658676147
1,0,5,1,5,0.9465478658676147
0,1,2,0,5,0.945434272
1,0,2,1,5,0.945434272
1,0,6,0,5,0.945434272
0,0,2,1,5,0.945434272
0,1,4,1,1,0.944567621
0,0,2,1,1,0.944567621
0,0,2,0,1,0.944567621
0,0,6,0,3,0.9444444179534912
0,1,3,0,3,0.9444444179534912
1,0,5,0,3,0.9444444179534912
1,0,6,1,3,0.9444444179534912
0,0,1,1,3,0.9444444179534912
0,0,3,1,3,0.9444444179534912
0,1,2,1,5,0.9443207383155824
0,1,6,1,5,0.9443207383155824
1,0,2,0,5,0.9443207383155824
0,0,3,0,5,0.9443207383155824
1,0,4,0,3,0.9433333277702332
1,1,1,1,3,0.9433333277702332
0,0,5,0,5,0.9432071447372437
0,1,1,1,7,0.9430803656578064
1,0,5,1,7,0.9430803656578064
0,0,3,0,7,0.9430803656578064
0,1,1,0,1,0.9423503279685974
0,1,5,1,1,0.9423503279685974
1,0,5,0,1,0.9423503279685974
1,1,6,0,1,0.9423503279685974
1,0,3,0,3,0.9422222375869752
1,1,6,0,3,0.9422222375869752
0,0,2,0,3,0.9422222375869752
0,1,5,0,5,0.942093551
1,0,6,1,5,0.942093551
1,1,4,0,5,0.942093551
1,1,6,1,5,0.942093551
0,0,6,0,7,0.9419642686843872
0,1,2,0,7,0.9419642686843872
0,1,3,1,7,0.9419642686843872
1,0,3,1,1,0.9412416815757751
0,1,1,1,3,0.9411110877990724
0,1,4,1,3,0.9411110877990724
0,1,5,1,3,0.9411110877990724
1,0,6,0,3,0.9411110877990724
1,1,4,1,3,0.9411110877990724
0,0,1,1,5,0.9409799575805664
0,0,2,0,5,0.9409799575805664
1,1,1,1,9,0.9407159090042114
0,0,3,1,9,0.9407159090042114
0,1,2,1,1,0.9401330351829528
0,1,2,1,3,0.9399999976158142
1,1,5,0,3,0.9399999976158142
1,0,3,1,5,0.9398663640022278
1,1,5,1,5,0.9398663640022278
0,0,4,1,5,0.9398663640022278
0,0,1,0,1,0.9390243887901306
1,1,6,0,5,0.9387527704238892
1,0,4,1,7,0.9386160969734192
1,1,5,1,7,0.9386160969734192
0,1,2,0,1,0.9379157423973083
1,1,3,0,3,0.9377777576446532
1,1,6,1,3,0.9377777576446532
1,0,5,0,5,0.9376391768455504
1,1,5,0,5,0.9376391768455504
0,0,3,1,5,0.9376391768455504
0,1,4,1,7,0.9375
0,1,6,1,11,0.937219739
1,0,3,1,3,0.9366666674613952
1,1,2,0,3,0.9366666674613952
1,0,3,0,5,0.936525583
1,0,4,0,5,0.936525583
1,1,2,1,5,0.936525583
0,1,4,0,7,0.9363839030265808
1,0,1,0,5,0.935412049
1,1,3,0,5,0.935412049
1,1,3,1,5,0.9342984557151794
1,0,1,0,7,0.9341517686843872
1,1,6,1,7,0.9341517686843872
0,0,1,1,7,0.9341517686843872
0,0,2,0,7,0.9341517686843872
0,0,4,1,7,0.9341517686843872
0,0,2,0,9,0.9340044856071472
1,0,5,1,11,0.933856487
0,0,2,1,11,0.933856487
0,1,1,0,7,0.9330357313156128
1,0,2,0,7,0.9330357313156128
0,0,1,0,7,0.9330357313156128
0,1,1,1,9,0.9328858852386476
1,1,1,0,9,0.9328858852386476
0,0,1,1,9,0.9328858852386476
0,1,3,1,3,0.9322222471237184
0,0,6,1,7,0.9319196343421936
0,1,6,1,7,0.9319196343421936
1,0,2,1,7,0.9319196343421936
0,1,5,0,9,0.9317673444747924
1,0,2,1,9,0.9317673444747924
1,1,3,0,9,0.9317673444747924
0,0,2,1,9,0.9317673444747924
1,1,5,0,1,0.9312638640403748
0,0,4,0,7,0.9308035969734192
0,0,5,0,7,0.9308035969734192
0,0,6,0,9,0.9306487441062928
0,1,3,1,9,0.9306487441062928
0,1,6,0,9,0.9306487441062928
1,0,2,0,9,0.9306487441062928
1,0,6,0,7,0.9296875
1,1,2,0,7,0.9296875
0,0,6,1,9,0.9295302033424376
0,1,6,1,9,0.9295302033424376
0,1,1,1,11,0.9293721914291382
0,1,4,1,11,0.9293721914291382
0,0,1,1,11,0.9293721914291382
1,0,3,0,1,0.9290465712547302
0,0,6,0,5,0.9287304878234864
1,1,6,0,7,0.9285714030265808
1,0,6,1,9,0.9284116625785828
1,1,4,0,9,0.9284116625785828
0,1,2,1,11,0.9282511472702026
0,1,3,1,11,0.9282511472702026
0,1,5,1,11,0.9282511472702026
1,0,6,0,11,0.9282511472702026
0,0,5,1,11,0.9282511472702026
0,0,6,1,1,0.927937925
1,1,3,1,7,0.9274553656578064
1,1,4,0,7,0.9274553656578064
1,0,1,0,9,0.927293062
1,0,4,0,9,0.927293062
0,1,3,0,11,0.9271300435066224
1,0,3,1,11,0.9271300435066224
1,0,4,1,1,0.9268292784690856
1,0,3,1,7,0.9263392686843872
0,1,2,1,9,0.926174521
0,1,4,0,11,0.92600894
0,0,2,0,11,0.92600894
0,1,5,0,1,0.9257206320762634
1,1,5,1,9,0.9250559210777284
0,0,3,0,11,0.9248878955841064
1,0,5,1,1,0.9246119856834412
0,1,2,1,7,0.9241071343421936
0,1,5,1,7,0.9241071343421936
1,1,3,0,7,0.9241071343421936
1,1,5,0,7,0.9241071343421936
0,0,4,0,9,0.9239373803138732
0,0,5,1,9,0.9239373803138732
1,1,5,0,11,0.923766792
0,0,6,0,1,0.9235033392906188
0,0,3,0,3,0.9233333468437196
1,0,5,0,7,0.9229910969734192
1,1,1,0,7,0.9229910969734192
1,0,6,0,9,0.9228187799453736
0,0,4,0,11,0.9226457476615906
0,1,3,0,1,0.9223946928977966
1,0,2,1,3,0.9222221970558168
0,1,3,0,7,0.921875
0,1,6,0,11,0.9215246438980104
1,0,5,1,9,0.9205816388130188
1,0,5,0,11,0.9204035997390748
1,1,4,0,11,0.9204035997390748
1,0,3,0,7,0.9196428656578064
0,1,2,0,9,0.9194630980491638
0,0,5,0,9,0.9194630980491638
0,0,6,0,11,0.9192824959754944
1,0,1,0,11,0.9192824959754944
1,0,2,0,1,0.9190687537193298
0,0,3,0,1,0.9190687537193298
0,0,4,1,1,0.9190687537193298
0,1,6,0,7,0.9185267686843872
0,1,1,0,9,0.918344498
1,0,3,1,9,0.918344498
0,0,1,0,9,0.918344498
0,0,3,0,9,0.918344498
0,0,5,0,11,0.9181614518165588
1,1,6,1,1,0.9179601073265076
0,0,5,1,7,0.9174107313156128
0,1,3,0,9,0.9172259569168092
1,1,2,0,9,0.9172259569168092
0,0,3,1,11,0.9170403480529784
0,1,5,0,7,0.9162946343421936
1,0,1,1,7,0.9162946343421936
1,0,4,0,7,0.9162946343421936
1,1,1,1,7,0.9162946343421936
0,0,3,1,7,0.9162946343421936
1,0,4,1,11,0.915919304
1,1,6,0,11,0.915919304
1,1,3,1,1,0.915742815
1,0,4,1,5,0.9153674840927124
1,1,6,1,11,0.9147982001304626
0,1,6,1,1,0.9146341681480408
1,0,6,1,7,0.9140625
1,0,4,1,9,0.9138702750205994
0,1,1,0,11,0.9136771559715272
1,0,3,0,11,0.9136771559715272
0,0,4,0,1,0.9135255217552184
0,1,6,0,5,0.9131402969360352
0,1,4,1,9,0.9127516746520996
1,0,5,0,9,0.9127516746520996
1,1,6,1,9,0.9127516746520996
1,1,1,0,11,0.9125560522079468
1,1,2,0,11,0.9125560522079468
1,0,6,1,1,0.9124168753623962
1,1,2,1,9,0.9116331338882446
1,0,6,1,11,0.9114349484443665
1,0,1,1,9,0.9105145335197448
1,1,4,1,9,0.909395993
1,0,2,1,11,0.9091928005218506
1,1,1,1,11,0.9091928005218506
1,0,6,0,1,0.9068736433982848
1,1,2,1,7,0.90625
0,1,4,0,9,0.9060402512550354
1,1,3,1,9,0.9060402512550354
1,1,2,1,11,0.9058296084403992
1,0,3,0,9,0.9049217104911804
1,1,6,0,9,0.9049217104911804
1,1,1,0,1,0.9046562910079956
1,0,4,0,11,0.9035874605178832
1,0,1,0,1,0.9035476446151732
0,1,5,1,9,0.9026845693588256
1,1,5,0,9,0.9026845693588256
0,1,6,0,1,0.9024389982223512
1,1,4,0,3,0.902222216
1,0,2,0,11,0.9013453125953674
1,1,5,1,11,0.9013453125953674
1,1,3,1,11,0.9002242088317871
0,1,1,1,1,0.8991130590438843
0,0,4,1,9,0.8982102870941162
1,0,1,1,11,0.8968609571456909
0,0,1,0,11,0.8957399129867554
1,1,4,1,7,0.8950892686843872
0,0,5,0,1,0.8946784734725952
1,1,4,1,11,0.8934977650642395
0,1,3,1,1,0.8902438879013062
0,0,6,1,11,0.8901345133781433
1,0,2,1,1,0.8891352415084839
0,0,4,1,11,0.8890134692192078
1,0,1,1,1,0.8880265951156616
1,1,3,0,11,0.8878923654556274
0,0,5,1,1,0.8869179487228394
0,1,6,0,3,0.8866666555404663
1,1,4,1,1,0.8847006559371948
1,1,5,1,1,0.8847006559371948
0,1,5,0,11,0.8811659216880798
1,1,2,1,1,0.8791574239730835
1,1,2,0,1,0.8747228384017944
1,0,4,0,1,0.8713968992233276
1,1,1,1,1,0.8713968992233276
0,0,1,1,1,0.8148558735847473
1,1,3,0,1,0.809312642
1,1,4,0,1,0.7960088849067688
0,1,4,0,1,0.7860310673713684
0,0,3,1,1,0.7827051281929016
0,1,2,0,11,0.7668161392211914
