file_name,nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no,class_name
16_07,949.30585,63.454407,0.76539314,950.4993,59.200745,0.74838233,950.208,60.11989,0.45705384,955.4244,63.520588,0.8315723,980.1749,62.245964,0.76742285,944.34155,99.646126,0.6429359,986.7389,88.78269,0.67375064,929.17505,137.74043,0.607364,968.35364,92.185974,0.44561788,919.3433,167.85432,0.45943636,953.8279,84.923004,0.44548786,923.2011,166.26498,0.6857997,946.13947,168.02003,0.62515336,905.73737,202.06197,0.7738514,937.8076,205.68613,0.7666054,888.25684,228.15848,0.8452128,937.8357,243.23888,0.7946876,0,stand
06_87,1129.8322,104.635895,0.8165861,1137.0201,99.27222,0.8321409,1126.2399,97.45729,0.81028754,1163.887,84.001785,0.8028453,1127.7201,81.00688,0.4975608,1214.0826,119.8529,0.792459,1113.6326,100.09126,0.75464404,1227.5609,187.12341,0.8226407,1089.4912,149.46591,0.8197289,1224.9801,242.81754,0.931439,1068.9368,192.56558,0.88559604,1153.0625,231.86446,0.7368231,1102.8726,215.74301,0.7530571,1147.7572,296.48907,0.81074023,1069.7988,267.84033,0.8512114,1143.3639,349.47415,0.9000989,1073.46,334.25912,0.92619765,0,stand
23_71,632.30664,427.28604,0.78949296,633.97455,421.0928,0.7104422,635.81213,423.80386,0.80113924,631.40625,397.56155,0.7625284,633.1828,419.42758,0.79215664,613.94403,382.7197,0.7694544,612.1819,422.8835,0.75424033,610.29315,372.95462,0.6123763,599.984,455.23187,0.78473246,632.9487,386.0022,0.55810463,626.1563,449.08633,0.7533777,536.0399,379.93286,0.60297465,537.7893,407.01245,0.60542035,484.5704,387.85837,0.667345,484.6027,415.84125,0.6996447,433.96878,381.80304,0.72624,428.78345,401.94794,0.78161156,1,mandown
30_22,1414.6168,342.42935,0.08558795,1629.4885,308.08224,0.11349405,1414.6377,290.88766,0.10642283,1698.232,325.26324,0.107005194,1363.0693,256.50687,0.100629315,1732.5895,445.5583,0.08953797,1474.7872,368.2248,0.099780716,1603.6442,909.5816,0.05036955,1414.5874,823.64996,0.056191087,1440.4266,359.64542,0.11417319,1388.8357,325.24194,0.08569044,1474.8379,858.1191,0.15034054,1552.1627,858.1002,0.13145345,1500.5231,909.58563,0.054373853,1586.4606,711.92926,0.054263357,1191.1403,187.70282,0.04656224,1655.199,196.29272,0.042731516,0,stand
49_12,905.1817,365.6586,0.80038136,911.50256,370.40375,0.818596,911.46844,371.94525,0.78446853,905.165,382.97394,0.78363514,909.8627,412.88202,0.75438935,857.8304,367.1523,0.71843255,868.8707,428.6133,0.7292621,843.426,349.59662,0.4948662,903.3325,379.56586,0.52682376,906.5332,355.9806,0.57625806,909.69714,360.7201,0.5888442,714.28253,387.4717,0.5544361,720.5774,407.9474,0.54671514,612.02966,367.1525,0.7186236,618.2267,370.1982,0.6130592,530.1202,406.56772,0.7427123,536.3741,382.88437,0.69406176,1,mandown
28_17,1288.2644,436.17838,0.9396149,1293.7426,430.7093,0.9440805,1285.9507,430.73688,0.97167385,1308.6016,432.2754,0.94632626,1284.0646,431.9785,0.6494099,1313.9235,467.31107,0.79473126,1295.837,463.29944,0.692801,1306.8977,512.6752,0.80643,1296.5396,507.0085,0.61334264,1293.6239,550.2273,0.8254715,1289.5026,543.76013,0.61385596,1312.2673,551.668,0.7024156,1297.3619,550.05554,0.6537777,1306.857,604.90326,0.7658068,1292.7622,602.5374,0.7457304,1309.2397,658.1119,0.8026364,1295.134,651.82556,0.7717706,0,stand
28_52,1423.2097,273.6785,0.08475225,1586.509,247.9153,0.10280325,1397.4642,247.93304,0.120542094,1895.864,213.52025,0.08275175,1251.3629,136.2067,0.11294049,2256.7932,316.63693,0.07441782,1216.9128,385.35028,0.037794646,1431.7382,909.55066,0.019409303,1431.7313,883.7626,0.012553353,1466.2281,591.69684,0.1343675,1483.3462,385.37747,0.064961195,1474.8062,892.46246,0.11869425,1706.8262,892.4511,0.10737027,1431.758,797.8518,0.0392797,1603.6511,694.74493,0.057425007,1431.7991,179.14278,0.080273874,1646.6559,179.15588,0.09338552,0,stand
25_46,1414.6107,273.67328,0.079517074,1586.5006,247.90685,0.09434259,1406.0432,247.91823,0.105733395,1388.8331,204.92688,0.08313085,1285.7365,170.58025,0.11148997,2248.1877,290.844,0.06275617,1234.0981,359.56693,0.035662062,1448.9259,952.5197,0.019690527,1474.7096,892.3658,0.022049159,1457.6125,591.67505,0.1125409,1483.3444,385.3756,0.06310831,1474.8147,875.2835,0.12723342,1689.6426,892.4551,0.11134444,1423.1564,840.8126,0.03138241,1586.4434,694.72455,0.03707309,1440.3693,161.93176,0.05676093,1638.0422,161.94847,0.0734735,0,stand
20_81,781.8264,239.32642,0.15974954,806.8098,197.64314,0.14314666,760.96686,197.63356,0.13356611,840.10724,201.77393,0.10725637,727.56805,210.06804,0.06803517,1035.8611,326.6943,0.027658584,790.00366,355.837,0.003668435,1090.0242,355.85754,0.024198491,-164.1682,-710.83484,-0.0015251413,815.0366,276.70328,0.03662689,798.3854,268.38544,0.052084956,665.05035,364.217,0.05036363,698.38763,364.22098,0.05431351,390.0808,418.41415,0.08080614,810.8505,410.0172,0.017216397,502.52927,418.3626,0.029265694,1110.9086,385.07523,0.075234056,1,mandown
08_63,1259.9926,175.96754,0.6105178,1258.5898,168.44644,0.7373228,1290.5027,166.70862,0.5290767,1263.387,171.71391,0.94563067,1312.3358,168.65707,0.94794846,1240.3082,237.35085,0.8106528,1345.8649,240.42564,0.8263129,1209.7236,315.3664,0.8176825,1371.8706,319.96667,0.82922035,1208.1484,381.09277,0.7721509,1367.2362,384.1634,0.7836002,1254.0365,385.68204,0.7726705,1321.3408,387.21442,0.77547145,1258.6321,472.8749,0.779541,1324.4584,485.16602,0.8340254,1263.1567,544.7011,0.7154856,1328.9432,586.0144,0.73014235,0,stand
