file_name,nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no,class_name
03_72,610.5833,279.23328,0.8745,604.1796,280.3188,0.89013475,603.10876,283.52747,0.8891507,599.7572,284.45547,0.74728346,603.12866,302.80527,0.90902746,639.40625,283.44885,0.81055844,641.5677,315.56705,0.83219874,675.6321,268.32022,0.6603062,686.38727,301.54297,0.7166022,701.32764,255.49988,0.67858636,709.92914,271.59058,0.7210057,732.32983,281.15268,0.6541326,734.51086,302.5916,0.6953876,784.79126,239.46416,0.6911401,784.9029,244.92525,0.8028066,843.64166,272.63733,0.69787794,813.73035,299.42996,0.74336874,1,mandown
03_73,611.2485,278.31766,0.9130025,604.8071,278.3214,0.91674554,603.72864,282.61377,0.912416,601.421,282.45444,0.7530891,602.65814,304.10092,0.91608536,639.08264,283.59412,0.81861067,640.1742,315.8368,0.83600926,676.53656,270.56177,0.676365,688.3662,300.65247,0.6901131,700.1806,256.60974,0.68859446,713.0518,270.55505,0.66964746,732.36334,281.27322,0.646054,735.63055,301.7272,0.69070643,785.05383,239.43628,0.7019465,785.1571,244.91043,0.80521584,843.05676,272.73315,0.69938016,814.0979,298.55728,0.74328506,1,mandown
03_74,611.6062,277.80676,0.91396713,605.1734,277.81396,0.9211642,604.09467,282.10184,0.91572493,601.76843,282.99557,0.73612297,603.02563,303.5728,0.92002296,640.48865,283.07578,0.8163297,640.50836,315.29553,0.8360318,677.8957,268.9628,0.65667754,687.5892,300.1229,0.6901077,701.4942,254.99455,0.6418053,712.2854,272.2258,0.6996713,733.70435,281.83804,0.6519157,735.89923,302.27963,0.7001563,784.17816,240.0051,0.67901176,785.3771,243.35065,0.80456126,844.3008,272.22104,0.69491553,813.23126,298.0382,0.7520628,1,mandown
03_75,611.7956,278.91617,0.9097391,605.3321,278.91614,0.9096974,604.2465,283.21677,0.9013388,600.8573,283.05927,0.74384385,603.17725,302.6151,0.90931153,640.786,283.12997,0.814557,640.8083,315.4696,0.8368776,679.4179,268.97705,0.66577166,687.0156,302.4286,0.7227765,702.0318,254.96466,0.65754974,715.01056,271.17508,0.70933455,732.1738,280.7977,0.6367611,735.4573,302.3943,0.6884641,785.0256,241.00656,0.7036146,785.1213,245.41124,0.79931766,843.18396,273.3111,0.6908646,814.1362,299.20273,0.7286711,1,mandown
03_76,612.38477,279.0408,0.8837774,605.9324,279.0297,0.872694,603.80206,283.3407,0.8894518,600.43036,284.2632,0.7384416,602.7446,303.7543,0.9055679,639.1575,284.3425,0.8177154,640.23615,316.55414,0.82279646,677.6745,270.2554,0.68680614,686.2669,303.5395,0.6907691,700.2196,255.22618,0.687315,712.0396,273.4875,0.69823515,732.3768,280.94202,0.6379204,736.71564,302.45776,0.6825785,783.94,241.25337,0.6706778,784.06415,245.67169,0.7948009,842.9729,273.4474,0.65812796,815.09064,298.1692,0.6882246,1,mandown
03_77,611.09955,279.19492,0.88834965,604.72296,279.20447,0.8978741,603.66455,282.4034,0.9037852,600.3146,284.37524,0.746907,602.6107,301.57217,0.91428125,639.7754,285.51947,0.82678735,640.8506,318.52505,0.83756363,676.8927,271.54794,0.69181633,687.57825,303.52048,0.7338648,699.254,255.59276,0.70185864,714.1858,271.58884,0.732708,732.19556,281.08386,0.64857805,735.4334,301.35126,0.6933465,784.4104,239.63593,0.7102647,784.51373,245.06097,0.8135694,845.0812,272.6336,0.71312517,813.196,299.28763,0.7584251,1,mandown
03_78,612.0674,279.55267,0.88396996,605.6677,279.56287,0.89417315,604.6019,283.83875,0.8967512,601.24286,283.68457,0.74259716,603.56036,304.16345,0.92346126,639.7846,284.83527,0.82496893,640.8658,320.10254,0.8377731,677.044,269.7471,0.69324607,688.8341,303.9718,0.73182213,699.48627,254.7982,0.70079213,713.409,271.92587,0.73538923,732.5484,280.38217,0.6451364,736.867,302.86218,0.6904914,784.9428,240.90128,0.69198656,785.0485,245.2803,0.7977455,845.84546,272.95935,0.700544,814.90765,299.71072,0.7439873,1,mandown
03_79,611.3687,279.4725,0.90285707,604.93933,279.47183,0.9022052,603.8631,282.68152,0.8974768,602.6447,284.67746,0.7505051,602.81555,303.06305,0.9213003,641.2785,284.73874,0.81178766,641.2971,319.04404,0.8303939,678.6284,270.6585,0.660542,688.32275,304.99643,0.71171963,700.0643,255.66469,0.66717064,714.01227,271.75568,0.6862364,733.25305,281.35333,0.6407749,735.44415,301.7592,0.68888676,784.7466,240.70123,0.70416784,784.84656,245.08704,0.80411565,843.6738,271.77054,0.70111805,813.73376,298.6178,0.7618785,1,mandown
03_80,612.06287,280.21756,0.88712955,604.5848,280.2194,0.8889604,604.59424,283.43457,0.89843285,601.2362,284.35077,0.7460753,603.54333,303.75507,0.91615415,639.7795,284.42575,0.82104754,640.8549,318.62668,0.8278562,677.04315,270.39822,0.684873,688.8092,301.39847,0.6967095,700.5609,255.44766,0.69423616,712.30505,270.39746,0.68412524,733.6334,281.0402,0.64118576,736.8826,302.45502,0.68469524,784.97284,240.48297,0.6894593,785.07825,244.86267,0.79488724,843.74976,272.54575,0.6952398,813.87463,299.30457,0.73992145,1,mandown
01_35,1150.2549,56.208015,0.96237445,1153.2446,49.116394,0.9276815,1151.1465,47.01822,0.8457682,1175.3468,50.047783,0.85093844,1192.2314,44.75364,0.59745455,1183.2834,113.43167,0.72250104,1206.3832,87.13304,0.63530576,1176.2317,187.0306,0.72778755,1178.0127,156.55135,0.4924922,1163.2137,241.55753,0.81558204,1138.7526,184.83597,0.54941666,1164.067,229.30507,0.66069895,1159.9646,223.18625,0.59068656,1160.115,298.9466,0.74111885,1147.9672,277.72562,0.6909193,1192.453,376.65063,0.81899124,1141.0067,321.17172,0.7873456,0,stand
