file_name,nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no,class_name
23_92,632.93353,428.79355,0.8295025,634.5799,422.56992,0.7270037,635.57935,425.31827,0.85201263,630.2726,398.15027,0.7919011,633.80206,418.29428,0.82361794,613.6468,385.02228,0.7806279,611.89197,423.49207,0.7747123,609.114,373.49393,0.6201306,600.5453,455.86786,0.7959126,632.6309,385.643,0.52690977,627.62384,448.84293,0.7665638,533.0118,382.21313,0.5948576,533.9011,407.58707,0.6097623,482.37405,389.28903,0.6751402,483.294,415.56796,0.72065,433.4429,382.3314,0.71309334,429.14246,402.51547,0.7848676,1,mandown
17_34,430.41104,83.21539,0.64534175,429.6331,78.467224,0.5290731,427.77106,79.252014,0.65216696,395.4779,76.73543,0.7823839,422.57056,84.63873,0.7452805,378.7811,105.69597,0.6280777,417.74274,126.13001,0.54938555,399.04416,139.85478,0.37843275,453.65057,134.2464,0.7253549,418.17258,84.87265,0.3174919,440.43677,95.8879,0.7455294,412.44724,194.28331,0.5474759,434.34222,198.31236,0.60632145,424.4572,229.45282,0.64681417,462.90808,236.14203,0.71903074,430.43735,271.16483,0.6716645,445.72464,281.1585,0.73982763,0,stand
02_83,588.22906,302.69238,0.7930853,583.01935,306.78497,0.7513114,582.0248,307.85764,0.79036963,582.89233,324.22897,0.62425965,586.15356,321.28867,0.7847425,613.94745,329.44434,0.671662,620.2068,304.69595,0.7294625,644.66565,292.97916,0.3821618,667.6419,276.67892,0.61937964,605.47174,279.62506,0.46474788,624.002,277.48346,0.39031994,714.1082,302.47342,0.5741374,718.2965,301.4938,0.62806857,758.5314,252.83989,0.5529474,765.96857,249.94113,0.75495654,803.0954,261.22812,0.67246765,807.2279,296.3684,0.6706518,1,mandown
30_09,1375.7625,426.4812,0.5089896,1354.5864,424.05328,0.58088183,1377.1888,421.6582,0.68555105,1354.8568,428.0734,0.85133314,1376.8577,424.45163,0.9792303,1349.1602,452.99896,0.7792295,1393.5236,455.49124,0.7717346,1331.1017,469.93716,0.8439979,1404.2043,493.66946,0.8285246,1347.1927,443.53226,0.6866485,1407.9977,519.9607,0.87217814,1350.9764,527.3085,0.72071236,1378.4706,530.42993,0.7173848,1349.1748,568.6278,0.79385734,1372.927,578.0063,0.7982132,1341.0425,608.6159,0.7857298,1362.9863,627.4351,0.85667956,0,stand
16_56,446.75177,155.14186,0.8034692,447.50122,147.83603,0.8206035,440.1089,151.42818,0.75127184,442.86032,140.99825,0.5735033,415.98047,149.26866,0.7886556,454.0213,163.1437,0.75004494,382.2646,185.85333,0.758459,472.29504,201.18948,0.71635133,369.81287,228.32391,0.755788,481.77185,237.76126,0.6732706,365.4534,260.5793,0.79009163,451.05872,253.91516,0.7166295,422.46942,263.40533,0.6869615,448.844,297.1029,0.69881463,445.95596,316.18378,0.73996127,440.04053,326.37888,0.68292546,470.16168,365.2876,0.7798649,0,stand
01_56,874.5963,9.954692,0.923592,877.6311,3.0399408,0.8969679,866.9101,4.5644603,0.89079255,879.693,3.5711548,0.66283447,847.83374,6.152551,0.9481881,884.463,35.893654,0.8407395,820.8812,54.20403,0.7827749,892.8724,88.6932,0.83130735,808.6657,110.10446,0.8128395,906.68414,130.82283,0.8668281,811.7729,156.83646,0.85864973,859.7883,153.57361,0.6571773,836.8893,155.93106,0.7185947,835.42584,201.91914,0.7858254,856.82623,216.43138,0.756457,819.4122,247.13322,0.84441257,870.6531,278.47513,0.80705595,0,stand
19_60,623.6992,335.36594,0.3659299,636.23505,322.9017,0.40171796,623.7102,318.71027,0.3769194,648.72986,335.39655,0.39655828,627.8665,322.86652,0.36652553,681.95044,356.1171,0.28374273,569.40704,347.74036,0.24035725,694.40063,326.9006,0.23394673,577.6953,335.19534,0.19532953,665.1606,351.82724,0.16059247,590.1462,360.14618,0.14618637,656.84827,385.18158,0.18157336,577.6697,385.1697,0.16969618,644.2621,430.9287,0.09537033,515.0959,422.5959,0.0959,635.8537,430.8537,0.020365171,506.71533,430.88202,0.04868026,0,stand
30_58,1423.2358,368.23584,0.110842966,1603.7258,308.1009,0.13212673,1414.6576,299.5013,0.12631202,1629.493,325.27432,0.11808272,1354.4878,299.48776,0.11276866,1706.8206,436.97678,0.10176459,1474.7981,385.4231,0.110594,1586.4695,892.4069,0.063177705,1397.4174,823.66736,0.07358943,1457.6721,574.5472,0.17217948,1466.2286,565.91614,0.13488725,1457.6538,849.5288,0.15381777,1569.3557,849.51196,0.1369384,1500.5334,918.18964,0.06465495,1586.4691,815.06287,0.06285254,1414.5901,196.30887,0.058862388,1646.6259,196.31339,0.06339189,0,stand
05_24,279.6687,78.124725,0.8182912,282.9827,67.48188,0.84833324,269.05865,74.08262,0.88114464,293.71042,60.96879,0.9031742,260.78165,76.478516,0.81406605,332.96408,101.04343,0.7492258,265.67862,106.826195,0.7850606,357.66043,154.47452,0.8158653,263.22385,150.34694,0.79326344,358.53345,202.965,0.86785805,258.36243,186.53513,0.8578157,346.05798,205.26736,0.7072645,315.6895,208.55957,0.71549904,360.08203,269.37192,0.7744851,325.57947,252.93117,0.75354785,379.9225,325.336,0.9111447,340.3934,280.05997,0.7896389,0,stand
21_51,769.3502,239.35019,0.18351263,786.02155,197.68823,0.18823725,748.51263,197.6793,0.1793095,819.3313,210.16461,0.16461042,698.4552,214.28856,0.121881485,823.4054,343.40543,0.07209109,577.5894,343.4228,0.08943593,831.72986,360.06317,0.063179605,481.7889,414.2889,0.122258216,823.37585,355.87592,0.04255846,506.7947,410.12805,0.12803668,677.6007,385.10074,0.100731865,560.96484,385.13153,0.13151702,448.39612,451.72943,0.062771976,444.25497,447.58832,0.08832429,506.767,468.4337,0.100349784,502.6043,460.1043,0.10432349,0,stand
37_14,671.33795,406.2966,0.50095767,691.9992,423.99954,0.45410568,674.2946,421.08646,0.49931067,746.89,421.2035,0.61634445,669.9571,412.31146,0.59922206,789.83545,397.58713,0.6663898,637.4286,396.05365,0.6120508,823.92706,316.30502,0.7375748,565.16656,476.14417,0.82843673,774.8485,270.18475,0.4709642,633.1374,560.3856,0.7582989,737.92926,215.51569,0.53049433,659.55664,212.57973,0.552837,730.3425,135.45058,0.33952087,643.1711,147.38226,0.43799964,730.4848,80.86429,0.48180878,637.4453,85.448685,0.62875694,1,mandown
08_83,190.87732,382.6194,0.18875477,190.90797,373.40878,0.21940185,172.39395,371.529,0.1878311,209.3046,380.71594,0.1335727,153.897,382.60397,0.17334434,235.14554,428.73584,0.099078484,213.0006,428.76984,0.13309012,344.1891,513.7522,0.09614759,220.32593,97.866234,0.0654244,327.54703,327.07153,0.08829537,301.64102,517.4103,0.05773554,288.72678,317.82324,0.0812109,181.53639,336.31354,0.089046285,419.94794,569.1803,0.07692813,218.50171,595.06836,0.089458935,510.59683,779.9652,0.16179508,312.75922,796.52405,0.086450145,1,mandown
23_69,631.5064,425.72794,0.7462932,633.17316,419.55655,0.6712156,635.0134,423.13864,0.76972806,629.77716,397.87167,0.7588013,633.2614,420.51566,0.7594377,612.3407,384.78973,0.7402915,611.4615,424.8427,0.73198473,606.9518,374.17548,0.5768031,599.29596,455.3512,0.7590523,631.29175,387.1937,0.53160083,626.2672,449.22827,0.7324256,534.67755,381.15286,0.5870476,535.55005,408.15237,0.58871394,483.3814,388.2069,0.6739019,485.14005,415.2216,0.6907311,433.78333,380.41193,0.71696734,429.49,403.11642,0.77813166,1,mandown
06_43,648.78503,-28.70588,0.26895046,662.9201,-28.71875,0.25608107,643.0959,-28.735966,0.23886406,662.99524,-28.6436,0.33123025,652.12476,-28.761679,0.2131513,684.25604,9.5946245,0.65317905,644.0653,4.490617,0.6424022,689.3793,61.122902,0.68323076,633.406,37.97265,0.7354751,688.23694,106.95149,0.6727369,615.30835,70.24137,0.7470656,674.54596,97.78778,0.5636579,667.69293,96.59397,0.50167656,664.41876,155.00443,0.62294614,689.2901,137.99811,0.5940528,652.0793,211.14061,0.7335773,720.0137,180.03998,0.7582418,0,stand
13_71,484.77603,387.54944,0.70139337,484.84744,383.9995,0.7727977,482.9511,377.57654,0.6871295,492.1365,387.66727,0.81921524,487.5881,358.67493,0.7974711,526.49695,389.43582,0.7770943,504.73996,342.32953,0.74805534,559.81354,390.1605,0.5964523,538.82294,341.10464,0.42845547,591.5262,382.03857,0.62252784,569.4105,365.35495,0.23483062,595.0952,354.82635,0.5702113,583.3654,331.32724,0.60970795,636.84576,364.8903,0.675514,632.34357,329.6069,0.7000356,693.9579,355.9132,0.75175035,674.9096,316.9477,0.71546596,1,mandown
