Group,LSTM,conv,augmented,frame,accuracy,ECE
0,1,5,0,3,0.955555558,0.512096571
1,1,1,1,3,0.954444468,0.450178032
0,1,2,1,3,0.954444468,0.470090023
0,1,1,1,3,0.954444468,0.557161758
1,1,1,1,5,0.954342961,0.488952488
0,1,4,0,3,0.953333318,0.45628269
0,1,3,1,3,0.953333318,0.458741798
0,1,1,1,1,0.952328146,0.50742496
0,1,2,0,3,0.952222228,0.480850263
0,0,6,1,3,0.952222228,0.492370134
0,1,6,1,3,0.951111138,0.472621656
1,1,1,0,5,0.95100224,0.496364745
0,1,4,0,5,0.95100224,0.503354065
0,1,4,1,5,0.95100224,0.504920525
0,1,3,0,5,0.95100224,0.508678672
1,1,5,1,3,0.949999988,0.457282886
1,0,6,1,3,0.949999988,0.479924157
1,0,1,0,3,0.949999988,0.490563268
0,1,1,0,3,0.949999988,0.509664405
0,0,4,0,5,0.949888647,0.502112565
1,1,5,1,5,0.949888647,0.502918736
0,1,5,1,5,0.949888647,0.532865154
1,0,1,1,1,0.949002206,0.479035111
1,1,2,1,3,0.948888898,0.482298759
1,1,1,0,3,0.948888898,0.484189343
1,0,5,1,3,0.948888898,0.529400517
0,0,1,0,5,0.948775053,0.470648669
1,1,2,0,5,0.948775053,0.47453573
0,1,1,0,5,0.948775053,0.49743848
0,0,5,0,3,0.947777748,0.446627364
0,0,4,0,3,0.947777748,0.459267374
1,0,2,0,3,0.947777748,0.509799355
0,1,2,1,1,0.946784914,0.49024798
0,0,1,0,3,0.946666658,0.502895869
0,1,4,1,3,0.946666658,0.508621818
1,0,2,1,5,0.946547866,0.478819148
0,1,1,1,5,0.946547866,0.512650546
0,0,5,1,5,0.945434272,0.456710612
0,0,3,1,5,0.945434272,0.484268938
0,0,2,1,5,0.945434272,0.486415287
0,0,1,1,5,0.945434272,0.492634964
1,0,6,0,5,0.945434272,0.507720009
1,0,3,1,5,0.945434272,0.509125223
0,1,6,1,5,0.945434272,0.511827329
0,1,2,0,5,0.945434272,0.551880068
0,0,2,0,1,0.944567621,0.630355188
1,0,5,0,3,0.944444418,0.433746961
1,0,2,1,3,0.944444418,0.461029016
1,0,1,1,3,0.944444418,0.492643338
0,1,3,0,3,0.944444418,0.499930234
0,0,6,0,3,0.944444418,0.503428101
0,0,3,0,5,0.944320738,0.501616817
1,0,2,0,5,0.944320738,0.79720405
1,0,4,0,3,0.943333328,0.442190051
0,0,5,0,5,0.943207145,0.472912643
0,0,4,1,5,0.943207145,0.506169635
1,1,4,1,5,0.943207145,0.50690691
0,1,2,1,5,0.943207145,0.573086244
0,0,3,0,7,0.943080366,0.455261717
1,1,6,0,1,0.942350328,0.63923821
1,0,5,0,1,0.942350328,0.722399803
0,1,1,0,1,0.942350328,0.730332861
0,0,5,1,3,0.942222238,0.484026641
0,0,4,1,3,0.942222238,0.48962572
0,0,2,0,3,0.942222238,0.491275941
1,1,6,0,3,0.942222238,0.494773849
1,0,3,0,3,0.942222238,0.506948925
1,1,4,0,5,0.942093551,0.490837931
0,1,5,0,5,0.942093551,0.599488585
0,1,2,0,7,0.941964269,0.457058123
0,0,6,0,7,0.941964269,0.535231922
1,1,4,1,1,0.941241682,0.512995999
1,1,6,1,3,0.941111088,0.483064838
1,0,6,0,3,0.941111088,0.491361464
1,0,4,1,3,0.941111088,0.507076508
0,0,2,0,5,0.940979958,0.468962932
1,0,6,1,5,0.940979958,0.471392649
1,0,5,1,5,0.940979958,0.479986086
0,0,6,1,5,0.940979958,0.49442758
0,0,3,1,3,0.939999998,0.453807838
0,0,1,1,3,0.939999998,0.465127853
1,1,5,0,3,0.939999998,0.485406889
1,0,3,1,3,0.939999998,0.498417455
0,1,5,1,3,0.939999998,0.506775993
1,1,2,1,5,0.939866364,0.491551336
0,1,6,1,7,0.939732134,0.460108203
0,1,4,1,7,0.939732134,0.473884313
0,0,1,0,1,0.939024389,0.661415202
1,1,6,0,5,0.93875277,0.53506405
0,0,4,1,7,0.938616097,0.482806075
0,0,4,1,9,0.938478768,0.516519548
0,1,2,0,1,0.937915742,0.489443639
1,1,3,0,3,0.937777758,0.508703281
1,1,3,1,3,0.937777758,0.518651161
1,1,5,0,5,0.937639177,0.489442009
