Model,ECE,Group,LSTM,conv,augmented,frame
model10,0.6967736038759099,0,0,6,1,1
model10,0.5486321348284418,0,0,6,1,11
model10,0.4713926490262618,0,0,6,1,3
model10,0.47778646419719567,0,0,6,1,5
model10,0.4808502632857305,0,0,6,1,7
model10,0.4696849915154593,0,0,6,1,9
model10,0.7983087277638807,0,0,6,0,1
model10,0.4201128226657762,0,0,6,0,11
model10,0.5106026057042448,0,0,6,0,3
model10,0.535231921635772,0,0,6,0,5
model10,0.461029015970609,0,0,6,0,7
model10,0.44898444653105296,0,0,6,0,9
model11,0.5074249600923987,0,1,1,1,1
model11,0.46931879192475423,0,1,1,1,11
model11,0.4788191481642831,0,1,1,1,3
model11,0.4689731586141305,0,1,1,1,5
model11,0.4501780315573987,0,1,1,1,7
model11,0.5512639887927906,0,1,1,1,9
model11,0.6392382099163718,0,1,1,0,1
model11,0.478514844622331,0,1,1,0,11
model11,0.47064866905352126,0,1,1,0,3
model11,0.46310250403227776,0,1,1,0,5
model11,0.4572828860630077,0,1,1,0,7
model11,0.4387690015933367,0,1,1,0,9
model12,0.4902479803309416,0,1,2,1,1
model12,0.4968396042675224,0,1,2,1,11
model12,0.5061696354364695,0,1,2,1,3
model12,0.47489506788226626,0,1,2,1,5
model12,0.4700900229482336,0,1,2,1,7
model12,0.4705777404559903,0,1,2,1,9
model12,0.4894436385706925,0,1,2,0,1
model12,0.9900773076061684,0,1,2,0,11
model12,0.4842689379941176,0,1,2,0,3
model12,0.4570581232532774,0,1,2,0,5
model12,0.4923701341098942,0,1,2,0,7
model12,0.4438375130208599,0,1,2,0,9
model13,0.4461911782598795,0,1,3,1,1
model13,0.4762426034004094,0,1,3,1,11
model13,0.4984838775303972,0,1,3,1,3
model13,0.483206981618294,0,1,3,1,5
model13,0.45874179765156275,0,1,3,1,7
model13,0.4800270041432028,0,1,3,1,9
model13,0.6305072843086349,0,1,3,0,1
model13,0.4765255810859116,0,1,3,0,11
model13,0.49636474483014725,0,1,3,0,3
model13,0.4554057492862322,0,1,3,0,5
model13,0.4337469612508864,0,1,3,0,7
model13,0.47903028906306205,0,1,3,0,9
model14,0.7854742146850235,0,1,4,1,1
model14,0.5034283083390312,0,1,4,1,11
model14,0.5049205247699402,0,1,4,1,3
model14,0.46010820341162295,0,1,4,1,5
model14,0.5028958688560051,0,1,4,1,7
model14,0.47622524790636356,0,1,4,1,9
model14,0.6047267718604755,0,1,4,0,1
model14,0.4642063255466197,0,1,4,0,11
model14,0.5033540653319181,0,1,4,0,3
model14,0.4635705200558149,0,1,4,0,5
model14,0.45628268959579593,0,1,4,0,7
model14,0.4233241500413526,0,1,4,0,9
model15,0.48928052292245,0,1,5,1,1
model15,0.5070677708157091,0,1,5,1,11
model15,0.5029187355011726,0,1,5,1,3
model15,0.4589340369145109,0,1,5,1,5
model15,0.485406889190572,0,1,5,1,7
model15,0.5412780816722794,0,1,5,1,9
model15,0.6838054917912194,0,1,5,0,1
model15,0.4938447455523717,0,1,5,0,11
model15,0.4908379312372612,0,1,5,0,3
model15,0.4899924597614206,0,1,5,0,5
model15,0.5120965709283488,0,1,5,0,7
model15,0.506633985600508,0,1,5,0,9
model16,0.4555510168728978,0,1,6,1,1
model16,0.5669272685048923,0,1,6,1,11
model16,0.4926349642666774,0,1,6,1,3
model16,0.47388431326988256,0,1,6,1,5
model16,0.47262165561810704,0,1,6,1,7
model16,0.4983562538237336,0,1,6,1,9
model16,0.6005670090732047,0,1,6,0,1
model16,0.47118358452252185,0,1,6,0,11
model16,0.8654998750179315,0,1,6,0,3
model16,0.40197039539443596,0,1,6,0,5
model16,0.4585632131658484,0,1,6,0,7
model16,0.46596757751019513,0,1,6,0,9
model17,0.4790351110809918,1,0,1,1,1
model17,0.5842721295419604,1,0,1,1,11
model17,0.47668488483790206,1,0,1,1,3
model17,0.42892050784749924,1,0,1,1,5
model17,0.4926433383274682,1,0,1,1,7
model17,0.5184412521613513,1,0,1,1,9
model17,0.6549243906627497,1,0,1,0,1
model17,0.5502618464001897,1,0,1,0,11
model17,0.48979896410807816,1,0,1,0,3
model17,0.5234166076778237,1,0,1,0,5
model17,0.4799241568886628,1,0,1,0,7
model17,0.4783050240533814,1,0,1,0,9
model18,0.7350984452409748,1,0,2,1,1
model18,0.5092995126453252,1,0,2,1,11
model18,0.5126505464341142,1,0,2,1,3
model18,0.48217888319933416,1,0,2,1,5
model18,0.5034281006300116,1,0,2,1,7
model18,0.5038896901326915,1,0,2,1,9
model18,0.5329804976031061,1,0,2,0,1
model18,0.5167007462426523,1,0,2,0,11
model18,0.5016168174506376,1,0,2,0,3
model18,0.48690564727253327,1,0,2,0,5
model18,0.5097993553058291,1,0,2,0,7
model18,0.48159893739061027,1,0,2,0,9
model19,0.4348053192509439,1,0,3,1,1
model19,0.5053991889287263,1,0,3,1,11
model19,0.5118273291038525,1,0,3,1,3
model19,0.47123981887067695,1,0,3,1,5
model19,0.4984174546242059,1,0,3,1,7
model19,0.4654934228767988,1,0,3,1,9
model19,0.4955951535031869,1,0,3,0,1
model19,0.5734333194328395,1,0,3,0,11
model19,0.4761384351551782,1,0,3,0,3
model19,0.5211542891546223,1,0,3,0,5
model19,0.5069489251831918,1,0,3,0,7
model19,0.5079026322333315,1,0,3,0,9
model20,0.4937840594916316,1,0,4,1,1
model20,0.5107722882275978,1,0,4,1,11
model20,0.5274577090508125,1,0,4,1,3
model20,0.43205502027982584,1,0,4,1,5
model20,0.48306483816025075,1,0,4,1,7
model20,0.5215021894221958,1,0,4,1,9
model20,0.8074287202507876,1,0,4,0,1
model20,0.5115453664652555,1,0,4,0,11
model20,0.47791320942710613,1,0,4,0,3
model20,0.43545170157913166,1,0,4,0,5
model20,0.44219005064135164,1,0,4,0,7
model20,0.5000419738302477,1,0,4,0,9
model21,0.463564032018128,1,0,5,1,1
model21,0.5182453001421314,1,0,5,1,11
model21,0.4799860861000642,1,0,5,1,3
model21,0.48781844618175857,1,0,5,1,5
model21,0.5294005170523266,1,0,5,1,7
model21,0.5111029721898395,1,0,5,1,9
model21,0.7303328606476809,1,0,5,0,1
model21,0.5322680241059048,1,0,5,0,11
model21,0.6009578104089557,1,0,5,0,3
model21,0.47039112847948894,1,0,5,0,5
model21,0.4999302336446011,1,0,5,0,7
model21,0.5096430010836813,1,0,5,0,9
model22,0.6188289165470205,1,0,6,1,1
model22,0.5362051774862108,1,0,6,1,11
model22,0.4944275797268227,1,0,6,1,3
model22,0.5172506635531974,1,0,6,1,5
model22,0.5096644051265594,1,0,6,1,7
model22,0.5216491940908954,1,0,6,1,9
model22,0.7623495150352817,1,0,6,0,1
model22,0.4742469740595356,1,0,6,0,11
